"cell_ID"	"FOV"	"cell_types"
"s712"	"1"	"DCSC"
"s713"	"0"	"B.cell-IgG"
"s714"	"1"	"Smooth.Muscle"
"s715"	"1"	"B.cell-IgG"
"s716"	"2"	"B.cell-Immature"
"s717"	"1"	"Macrophage"
"s718"	"0"	"Macrophage"
"s719"	"2"	"DCSC"
"s720"	"1"	"DCSC"
"s721"	"1"	"DCSC"
"s722"	"2"	"Paneth-like"
"s723"	"0"	"Stem"
"s724"	"0"	"Macrophage"
"s725"	"1"	"Macrophage"
"s726"	"1"	"Fibroblast"
"s727"	"1"	"DCSC"
"s728"	"0"	"Fibroblast"
"s729"	"0"	"DCSC"
"s730"	"1"	"Paneth-like"
"s731"	"1"	"Paneth-like"
"s732"	"0"	"Paneth-like"
"s733"	"2"	"Macrophage"
"s734"	"0"	"B.cell-IgA"
"s735"	"1"	"Smooth.Muscle"
"s736"	"2"	"Stem"
"s737"	"0"	"DCSC"
"s738"	"2"	"DCSC"
"s739"	"2"	"DCSC"
"s740"	"0"	"Macrophage"
"s741"	"0"	"B.cell-IgA"
"s742"	"0"	"Fibroblast"
"s743"	"0"	"Stem"
"s744"	"2"	"Stem"
"s745"	"0"	"DCSC"
"s746"	"2"	"DCSC"
"s747"	"1"	"B.cell-IgG"
"s748"	"2"	"B.cell-IgA"
"s749"	"2"	"B.cell-IgA"
"s750"	"2"	"Paneth-like"
"s751"	"2"	"Stem"
"s752"	"2"	"Stem"
"s753"	"0"	"B.cell-IgA"
"s754"	"2"	"B.cell-IgA"
"s755"	"0"	"B.cell-IgA"
"s756"	"1"	"B.cell-IgA"
"s757"	"0"	"Paneth-like"
"s758"	"1"	"DCSC"
"s759"	"1"	"DCSC"
"s760"	"1"	"Paneth-like"
"s761"	"1"	"DCSC"
"s762"	"1"	"B.cell-IgG"
"s763"	"2"	"Smooth.Muscle"
"s764"	"1"	"Stem"
"s765"	"2"	"B.cell-Immature"
"s766"	"1"	"Macrophage"
"s767"	"2"	"Macrophage"
"s768"	"0"	"DCSC"
"s769"	"1"	"DCSC"
"s770"	"2"	"Smooth.Muscle"
"s771"	"1"	"Paneth-like"
"s772"	"2"	"Stem"
"s773"	"0"	"Stem"
"s774"	"2"	"DCSC"
"s775"	"1"	"Fibroblast"
"s776"	"0"	"Fibroblast"
"s777"	"0"	"Fibroblast"
"s778"	"1"	"DCSC"
"s779"	"0"	"Paneth-like"
"s780"	"0"	"Paneth-like"
"s781"	"1"	"Paneth-like"
"s782"	"0"	"Macrophage"
"s783"	"1"	"B.cell-IgA"
"s784"	"1"	"Fibroblast"
"s785"	"1"	"Stem"
"s786"	"0"	"DCSC"
